,Office,RaceDate,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,PopularRaceNotes,ElectoralRaceNotes,year
0,President,19561104,Alabama,0,11,0,"496,861","195,694","Eisenhower, Dwight D. ",Incumbent,"280,844","Stevenson, Adlai E. II",Challenger,States Rights,"20,323","Uncommitted, NULL  ",Challenger,,,"85,150",D,39.39,56.52,4.09,0.0,41.07,58.93,,,1956
1,President,19561104,Alaska,0,11,0,,,"Eisenhower, Dwight D. ",Incumbent,,"Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1956
2,President,19561104,Arizona,4,0,0,"290,173","176,990","Eisenhower, Dwight D. ",Incumbent,"112,880","Stevenson, Adlai E. II",Challenger,States Rights,303,"Uncommitted, NULL  ",Challenger,,,"64,110",R,60.99,38.9,0.1,0.0,61.06,38.94,,,1956
3,President,19561104,Arkansas,0,8,0,"406,572","186,287","Eisenhower, Dwight D. ",Incumbent,"213,277","Stevenson, Adlai E. II",Challenger,States Rights,"7,008","Uncommitted, NULL  ",Challenger,,,"26,990",D,45.82,52.46,1.72,0.0,46.62,53.38,,,1956
4,President,19561104,California,32,0,0,"5,466,355","3,027,668","Eisenhower, Dwight D. ",Incumbent,"2,420,135","Stevenson, Adlai E. II",Challenger,States Rights,"18,552","Uncommitted, NULL  ",Challenger,,,"607,533",R,55.39,44.27,0.34,0.0,55.58,44.42,,,1956
5,President,19561104,Colorado,6,0,0,"657,074","394,479","Eisenhower, Dwight D. ",Incumbent,"257,997","Stevenson, Adlai E. II",Challenger,States Rights,"4,598","Uncommitted, NULL  ",Challenger,,,"136,482",R,60.04,39.26,0.7,0.0,60.46,39.54,,,1956
6,President,19561104,Connecticut,8,0,0,"1,117,121","711,837","Eisenhower, Dwight D. ",Incumbent,"405,079","Stevenson, Adlai E. II",Challenger,States Rights,205,"Uncommitted, NULL  ",Challenger,,,"306,758",R,63.72,36.26,0.02,0.0,63.73,36.27,,,1956
7,President,19561104,Delaware,3,0,0,"177,988","98,057","Eisenhower, Dwight D. ",Incumbent,"79,421","Stevenson, Adlai E. II",Challenger,States Rights,510,"Uncommitted, NULL  ",Challenger,,,"18,636",R,55.09,44.62,0.29,0.0,55.25,44.75,,,1956
8,President,19561104,District of Columbia,3,0,0,,,"Eisenhower, Dwight D. ",Incumbent,,"Stevenson, Adlai E. II",Challenger,States Rights,,"Uncommitted, NULL  ",Challenger,,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1956
9,President,19561104,Florida,10,0,0,"1,125,762","643,849","Eisenhower, Dwight D. ",Incumbent,"480,371","Stevenson, Adlai E. II",Challenger,States Rights,"1,542","Uncommitted, NULL  ",Challenger,,,"163,478",R,57.19,42.67,0.14,0.0,57.27,42.73,,,1956
10,President,19561104,Georgia,0,12,0,"669,655","222,778","Eisenhower, Dwight D. ",Incumbent,"444,688","Stevenson, Adlai E. II",Challenger,States Rights,"2,189","Uncommitted, NULL  ",Challenger,,,"221,910",D,33.27,66.41,0.33,0.0,33.38,66.62,,,1956
11,President,19561104,Idaho,4,0,0,"272,989","166,979","Eisenhower, Dwight D. ",Incumbent,"105,868","Stevenson, Adlai E. II",Challenger,States Rights,142,"Uncommitted, NULL  ",Challenger,,,"61,111",R,61.17,38.78,0.05,0.0,61.2,38.8,,,1956
12,President,19561104,Illinois,27,0,0,"4,407,407","2,623,327","Eisenhower, Dwight D. ",Incumbent,"1,775,682","Stevenson, Adlai E. II",Challenger,States Rights,"8,398","Uncommitted, NULL  ",Challenger,,,"847,645",R,59.52,40.29,0.19,0.0,59.63,40.37,,,1956
13,President,19561104,Indiana,13,0,0,"1,974,607","1,182,811","Eisenhower, Dwight D. ",Incumbent,"783,908","Stevenson, Adlai E. II",Challenger,States Rights,"7,888","Uncommitted, NULL  ",Challenger,,,"398,903",R,59.9,39.7,0.4,0.0,60.14,39.86,,,1956
14,President,19561104,Iowa,10,0,0,"1,234,564","729,187","Eisenhower, Dwight D. ",Incumbent,"501,858","Stevenson, Adlai E. II",Challenger,States Rights,"3,519","Uncommitted, NULL  ",Challenger,,,"227,329",R,59.06,40.65,0.29,0.0,59.23,40.77,,,1956
15,President,19561104,Kansas,8,0,0,"866,243","566,878","Eisenhower, Dwight D. ",Incumbent,"296,317","Stevenson, Adlai E. II",Challenger,States Rights,"3,048","Uncommitted, NULL  ",Challenger,,,"270,561",R,65.44,34.21,0.35,0.0,65.67,34.33,,,1956
